model,item,feature,value,shap_value,expected_value
DRF_1,21,TA,6,-0.007858187287000912,3.072642543794293
DRF_1,22,TA,5.25,-0.1945358188659475,2.885964912215346
DRF_1,23,TA,5.63,-0.09208241966689182,2.9884183114144016
DRF_1,24,TA,6.75,0.20582054085942314,3.2863212719407167
DRF_1,25,TA,6.15,0.02164427989451001,3.1021450109758035
DRF_1,26,TA,5.48,-0.10063733567881317,2.9798633954024805
DRF_1,27,TA,6.75,0.16989903128025075,3.2503997623615444
DRF_1,28,TA,6.6,0.13424022280071887,3.2147409538820124
DRF_1,29,TA,6.45,0.09442388508142072,3.174924616162714
DRF_1,30,TA,6.15,-8.337902809288922e-4,3.0796669408003647
DRF_1,31,TA,5.7,-0.15259502939226377,2.9279057016890295
DRF_1,32,TA,5.7,-0.09203673260863837,2.988463998472655
DRF_1,33,TA,6.15,0.048885233765630226,3.1293859648469238
DRF_1,34,TA,7.13,0.2593887059878533,3.339889437069147
DRF_1,35,TA,5.85,-0.2362024855326153,2.844298245548678
DRF_1,36,TA,6.3,0.05348821264304915,3.1339889437243427
DRF_1,37,TA,4.8,-0.39332054101191866,2.687180190069375
DRF_1,38,TA,6,0.03402549326855442,3.1145262243498477
DRF_1,39,TA,6.23,0.04630391066621431,3.126804641747508
DRF_1,40,TA,5.25,-0.19339364050337476,2.887107090577919
DRF_1,41,TA,5.85,-0.24867507325191177,2.831825657829382
DRF_1,42,TA,5.78,-0.24571683129284835,2.8347838997884454
DRF_1,43,TA,6.3,0.06260279590013362,3.1431035269814274
DRF_1,44,TA,6.08,0.09998629370715077,3.1804870247884445
DRF_1,45,TA,5.7,-0.07462993436302351,3.00587079671827
DRF_1,46,TA,5.55,-0.07577211272559717,3.0047286183556965
DRF_1,47,TA,5.85,-0.1967859102402155,2.883714820841078
DRF_1,48,TA,6.3,-0.008554916088170605,3.071945814993123
DRF_1,1,TSS,18.4,-0.4531364217618394,2.627364309319454
DRF_1,2,TSS,19.2,-0.43303408258055315,2.6474666485007403
DRF_1,3,TSS,20.1,-0.33295641445189794,2.7475443166293956
DRF_1,4,TSS,19.7,-0.1901612755630102,2.8903394555182835
DRF_1,5,TSS,21,-0.24759000363318545,2.832910727448108
DRF_1,6,TSS,21.1,-0.2629979897442967,2.817502741336997
DRF_1,7,TSS,20.6,-0.35376690421798,2.7267338268633137
DRF_1,8,TSS,21.3,-0.23709338448113815,2.8434073466001553
DRF_1,9,TSS,21.6,0.06364217838435823,3.1441429094656517
DRF_1,10,TSS,21.8,0.03737969053854681,3.1178804216198404
DRF_1,11,TSS,22.2,0.01899061890112058,3.099491349982414
DRF_1,12,TSS,21.5,-0.0385713632823097,3.041929367798984
DRF_1,13,TSS,21.8,0.042839303111646854,3.1233400341929403
DRF_1,14,TSS,19.9,-0.2957213998320164,2.7847793312492772
DRF_1,15,TSS,22.1,-0.02379538256086841,3.056705348520425
DRF_1,16,TSS,22.1,-0.037798489286014925,3.0427022417952787
DRF_1,17,TSS,22.4,0.010134929322708028,3.0906356604040015
DRF_1,18,TSS,21.9,7.614515155518475e-6,3.0805083455964493
DRF_1,19,TSS,22.4,0.06270939935194729,3.143210130433241
DRF_1,20,TSS,20.9,-0.2588975694226599,2.8216031616586337
DRF_1,21,TSS,20.6,-0.3172971490792381,2.7632035820020553
DRF_1,22,TSS,23.2,0.0072337962817734525,3.087734527363067
DRF_1,23,TSS,22.9,0.08935642055077989,3.1698571516320735
DRF_1,24,TSS,21.6,0.08452119887397824,3.1650219299552718
DRF_1,25,TSS,22.8,0.25090993542158835,3.3314106665028818
DRF_1,26,TSS,20.4,-0.3389185855045309,2.7415821455767624
DRF_1,27,TSS,20.5,-0.34652549339926686,2.7339752376820265
